,score,episodes,avg_score
0,0.0,300,
1,1.0,300,
2,2.0,300,
3,0.0,300,
4,1.0,300,
5,-1.0,300,
6,-1.0,300,
7,2.0,300,
8,0.0,300,
9,0.0,300,
10,0.0,300,
11,0.0,300,
12,7.0,300,
13,6.0,300,
14,0.0,300,
15,4.0,300,
16,0.0,300,
17,3.0,300,
18,1.0,300,
19,4.0,300,1.45
20,1.0,300,1.5
21,8.0,300,1.85
22,2.0,300,1.85
23,5.0,300,2.1
24,3.0,300,2.2
25,4.0,300,2.45
26,8.0,300,2.9
27,6.0,300,3.1
28,7.0,300,3.45
29,5.0,300,3.7
30,5.0,300,3.95
31,5.0,300,4.2
32,0.0,300,3.85
33,3.0,300,3.7
34,12.0,300,4.3
35,9.0,300,4.55
36,5.0,300,4.8
37,8.0,300,5.05
38,8.0,300,5.4
39,5.0,300,5.45
40,4.0,300,5.6
41,7.0,300,5.55
42,2.0,300,5.55
43,6.0,300,5.6
44,1.0,300,5.5
45,9.0,300,5.75
46,11.0,300,5.9
47,10.0,300,6.1
48,8.0,300,6.15
49,4.0,300,6.1
50,12.0,300,6.45
51,9.0,300,6.65
52,12.0,300,7.25
53,1.0,300,7.15
54,2.0,300,6.65
55,7.0,300,6.55
56,10.0,300,6.8
57,12.0,300,7.0
58,3.0,300,6.75
59,0.0,300,6.5
60,3.0,300,6.45
61,3.0,300,6.25
62,7.0,300,6.5
63,11.0,300,6.75
64,10.0,300,7.2
65,5.0,300,7.0
66,0.0,300,6.45
67,7.0,300,6.3
68,7.0,300,6.25
69,5.0,300,6.3
70,11.0,300,6.25
71,4.0,300,6.0
72,6.0,300,5.7
73,5.0,300,5.9
74,12.0,300,6.4
75,6.0,300,6.35
76,3.0,300,6.0
77,10.0,300,5.9
78,0.0,300,5.75
79,7.0,300,6.1
80,7.0,300,6.3
81,4.0,300,6.35
82,5.0,300,6.25
83,11.0,300,6.25
84,1.0,300,5.8
85,9.0,300,6.0
86,-1.0,300,5.95
87,2.0,300,5.7
88,1.0,300,5.4
89,10.0,300,5.65
90,6.0,300,5.4
91,7.0,300,5.55
92,1.0,300,5.3
93,1.0,300,5.1
94,6.0,300,4.8
95,1.0,300,4.55
96,6.0,300,4.7
97,7.0,300,4.55
98,12.0,300,5.15
99,11.0,300,5.35
100,9.0,300,5.45
101,0.0,300,5.25
102,-1.0,300,4.95
103,5.0,300,4.65
104,10.0,300,5.1
105,3.0,300,4.8
106,5.0,300,5.1
107,2.0,300,5.1
108,6.0,300,5.35
109,12.0,300,5.45
110,3.0,300,5.3
111,11.0,300,5.5
112,10.0,300,5.95
113,12.0,300,6.5
114,0.0,300,6.2
115,1.0,300,6.2
116,5.0,300,6.15
117,4.0,300,6.0
118,2.0,300,5.5
119,3.0,300,5.1
120,4.0,300,4.85
121,13.0,300,5.5
122,0.0,300,5.55
123,2.0,300,5.4
124,2.0,300,5.0
125,6.0,300,5.15
126,2.0,300,5.0
127,2.0,300,5.0
128,7.0,300,5.05
129,12.0,300,5.05
130,3.0,300,5.05
131,1.0,300,4.55
132,14.0,300,4.75
133,20.0,300,5.15
134,5.0,300,5.4
135,6.0,300,5.65
136,15.0,300,6.15
137,10.0,300,6.45
138,2.0,300,6.45
139,6.0,300,6.6
140,6.0,300,6.7
141,9.0,300,6.5
142,15.0,300,7.25
143,8.0,300,7.55
144,6.0,300,7.75
145,5.0,300,7.7
146,5.0,300,7.85
147,6.0,300,8.05
148,9.0,300,8.15
149,8.0,300,7.95
150,1.0,300,7.85
151,5.0,300,8.05
152,5.0,300,7.6
153,11.0,300,7.15
154,0.0,300,6.9
155,4.0,300,6.8
156,4.0,300,6.25
157,12.0,300,6.35
158,4.0,300,6.45
159,5.0,300,6.4
160,11.0,300,6.65
161,2.0,300,6.3
162,15.0,300,6.3
163,13.0,300,6.55
164,14.0,300,6.95
165,4.0,300,6.9
166,15.0,300,7.4
167,11.0,300,7.65
168,5.0,300,7.45
169,4.0,300,7.25
170,8.0,300,7.6
171,12.0,300,7.95
172,12.0,300,8.3
173,7.0,300,8.1
174,6.0,300,8.4
175,6.0,300,8.5
176,3.0,300,8.45
177,1.0,300,7.9
178,12.0,300,8.3
179,15.0,300,8.8
180,6.0,300,8.55
181,1.0,300,8.5
182,8.0,300,8.15
183,18.0,300,8.4
184,13.0,300,8.35
185,7.0,300,8.5
186,14.0,300,8.45
187,9.0,300,8.35
188,9.0,300,8.55
189,13.0,300,9.0
190,9.0,300,9.05
191,10.0,300,8.95
192,13.0,300,9.0
193,6.0,300,8.95
194,10.0,300,9.15
195,17.0,300,9.7
196,7.0,300,9.9
197,14.0,300,10.55
198,11.0,300,10.5
199,10.0,300,10.25
200,10.0,300,10.45
201,12.0,300,11.0
202,17.0,300,11.45
203,10.0,300,11.05
204,13.0,300,11.05
205,10.0,300,11.2
206,10.0,300,11.0
207,14.0,300,11.25
208,14.0,300,11.5
209,7.0,300,11.2
210,9.0,300,11.2
211,11.0,300,11.25
212,1.0,300,10.65
213,12.0,300,10.95
214,9.0,300,10.9
215,18.0,300,10.95
216,6.0,300,10.9
217,11.0,300,10.75
218,12.0,300,10.8
219,5.0,300,10.55
220,10.0,300,10.55
221,4.0,300,10.15
222,6.0,300,9.6
223,5.0,300,9.35
224,13.0,300,9.35
225,14.0,300,9.55
226,7.0,300,9.4
227,11.0,300,9.25
228,14.0,300,9.25
229,10.0,300,9.4
230,10.0,300,9.45
231,9.0,300,9.35
232,0.0,300,9.3
233,18.0,300,9.6
234,11.0,300,9.7
235,15.0,300,9.55
236,8.0,300,9.65
237,7.0,300,9.45
238,12.0,300,9.45
239,6.0,300,9.5
240,7.0,300,9.35
241,11.0,300,9.7
242,15.0,300,10.15
243,19.0,300,10.85
244,6.0,300,10.5
245,4.0,300,10.0
246,10.0,300,10.15
247,14.0,300,10.3
248,7.0,300,9.95
249,13.0,300,10.1
250,15.0,300,10.35
251,18.0,300,10.8
252,14.0,300,11.5
253,17.0,300,11.45
254,11.0,300,11.45
255,12.0,300,11.3
256,16.0,300,11.7
257,17.0,300,12.2
258,13.0,300,12.25
259,7.0,300,12.3
260,16.0,300,12.75
261,5.0,300,12.45
262,12.0,300,12.3
263,12.0,300,11.95
264,11.0,300,12.2
265,13.0,300,12.65
266,13.0,300,12.8
267,7.0,300,12.45
268,18.0,300,13.0
269,13.0,300,13.0
