,score,episodes,avg_score
0,0.0,300,
1,3.0,300,
2,1.0,300,
3,0.0,300,
4,-2.0,300,
5,1.0,300,
6,1.0,300,
7,0.0,300,
8,1.0,300,
9,0.0,300,
10,1.0,300,
11,5.0,300,
12,1.0,300,
13,-1.0,300,
14,3.0,300,
15,4.0,300,
16,2.0,300,
17,1.0,300,
18,2.0,300,
19,3.0,300,1.3
20,2.0,300,1.4
21,0.0,300,1.25
22,2.0,300,1.3
23,1.0,300,1.35
24,1.0,300,1.5
25,3.0,300,1.6
26,2.0,300,1.65
27,1.0,300,1.7
28,1.0,300,1.7
29,1.0,300,1.75
30,-1.0,300,1.65
31,1.0,300,1.45
32,2.0,300,1.5
33,1.0,300,1.6
34,6.0,300,1.75
35,3.0,300,1.7
36,1.0,300,1.65
37,6.0,300,1.9
38,2.0,300,1.9
39,4.0,300,1.95
40,2.0,300,1.95
41,2.0,300,2.05
42,1.0,300,2.0
43,0.0,300,1.95
44,9.0,300,2.35
45,2.0,300,2.3
46,6.0,300,2.5
47,8.0,300,2.85
48,-1.0,300,2.75
49,7.0,300,3.05
50,3.0,300,3.25
51,4.0,300,3.4
52,4.0,300,3.5
53,13.0,300,4.1
54,2.0,300,3.9
55,1.0,300,3.8
56,8.0,300,4.15
57,3.0,300,4.0
58,-1.0,300,3.85
59,1.0,300,3.7
60,1.0,300,3.65
61,10.0,300,4.05
62,10.0,300,4.5
63,2.0,300,4.6
64,6.0,300,4.45
65,-1.0,300,4.3
66,5.0,300,4.25
67,6.0,300,4.15
68,0.0,300,4.2
69,10.0,300,4.35
70,3.0,300,4.35
71,6.0,300,4.45
72,2.0,300,4.35
73,7.0,300,4.05
74,7.0,300,4.3
75,13.0,300,4.9
76,10.0,300,5.0
77,2.0,300,4.95
78,1.0,300,5.05
79,0.0,300,5.0
80,7.0,300,5.3
81,9.0,300,5.25
82,1.0,300,4.8
83,8.0,300,5.1
84,1.0,300,4.85
85,8.0,300,5.3
86,8.0,300,5.45
87,10.0,300,5.65
88,6.0,300,5.95
89,-1.0,300,5.4
90,4.0,300,5.45
91,2.0,300,5.25
92,8.0,300,5.55
93,9.0,300,5.65
94,4.0,300,5.5
95,4.0,300,5.05
96,1.0,300,4.6
97,5.0,300,4.75
98,0.0,300,4.7
99,6.0,300,5.0
100,1.0,300,4.7
101,1.0,300,4.3
102,8.0,300,4.65
103,11.0,300,4.8
104,7.0,300,5.1
105,3.0,300,4.85
106,5.0,300,4.7
107,8.0,300,4.6
108,8.0,300,4.7
109,9.0,300,5.2
110,5.0,300,5.25
111,8.0,300,5.55
112,14.0,300,5.85
113,6.0,300,5.7
114,7.0,300,5.85
115,1.0,300,5.7
116,1.0,300,5.7
117,6.0,300,5.75
118,20.0,300,6.75
119,9.0,300,6.9
120,13.0,300,7.5
121,14.0,300,8.15
122,1.0,300,7.8
123,9.0,300,7.7
124,10.0,300,7.85
125,6.0,300,8.0
126,13.0,300,8.4
127,3.0,300,8.15
128,5.0,300,8.0
129,9.0,300,8.0
130,5.0,300,8.0
131,2.0,300,7.7
132,2.0,300,7.1
133,4.0,300,7.0
134,11.0,300,7.2
135,6.0,300,7.45
136,3.0,300,7.55
137,8.0,300,7.65
138,9.0,300,7.1
139,9.0,300,7.1
140,4.0,300,6.65
141,10.0,300,6.45
142,4.0,300,6.6
143,1.0,300,6.2
144,5.0,300,5.95
145,8.0,300,6.05
146,10.0,300,5.9
147,-1.0,300,5.7
148,7.0,300,5.8
149,3.0,300,5.5
150,10.0,300,5.75
151,11.0,300,6.2
152,4.0,300,6.3
153,11.0,300,6.65
154,12.0,300,6.7
155,2.0,300,6.5
156,3.0,300,6.5
157,2.0,300,6.2
158,6.0,300,6.05
159,8.0,300,6.0
160,5.0,300,6.05
161,1.0,300,5.6
162,6.0,300,5.7
163,11.0,300,6.2
164,1.0,300,6.0
165,8.0,300,6.0
166,10.0,300,6.0
167,12.0,300,6.65
168,6.0,300,6.6
169,2.0,300,6.55
170,4.0,300,6.25
171,8.0,300,6.1
172,9.0,300,6.35
173,6.0,300,6.1
174,8.0,300,5.9
175,1.0,300,5.85
176,14.0,300,6.4
177,5.0,300,6.55
178,7.0,300,6.6
179,2.0,300,6.3
180,6.0,300,6.35
181,9.0,300,6.75
182,7.0,300,6.8
183,3.0,300,6.4
184,5.0,300,6.6
185,13.0,300,6.85
186,5.0,300,6.6
187,15.0,300,6.75
188,8.0,300,6.85
189,15.0,300,7.5
190,10.0,300,7.8
191,5.0,300,7.65
192,7.0,300,7.55
193,6.0,300,7.55
194,10.0,300,7.65
195,8.0,300,8.0
196,2.0,300,7.4
197,13.0,300,7.8
198,6.0,300,7.75
199,4.0,300,7.85
200,1.0,300,7.6
201,8.0,300,7.55
202,11.0,300,7.75
203,6.0,300,7.9
204,12.0,300,8.25
205,6.0,300,7.9
206,13.0,300,8.3
207,5.0,300,7.8
208,9.0,300,7.85
209,3.0,300,7.25
210,4.0,300,6.95
211,5.0,300,6.95
212,13.0,300,7.25
213,9.0,300,7.4
214,8.0,300,7.3
215,7.0,300,7.25
216,9.0,300,7.6
217,17.0,300,7.8
218,2.0,300,7.6
219,4.0,300,7.6
220,18.0,300,8.45
221,8.0,300,8.45
222,3.0,300,8.05
223,1.0,300,7.8
224,14.0,300,7.9
225,5.0,300,7.85
226,15.0,300,7.95
227,9.0,300,8.15
228,6.0,300,8.0
229,14.0,300,8.55
230,6.0,300,8.65
231,4.0,300,8.6
232,8.0,300,8.35
233,14.0,300,8.6
234,8.0,300,8.6
235,10.0,300,8.75
236,7.0,300,8.65
237,7.0,300,8.15
238,4.0,300,8.25
239,12.0,300,8.65
240,18.0,300,8.65
241,5.0,300,8.5
242,16.0,300,9.15
243,13.0,300,9.75
244,10.0,300,9.55
245,8.0,300,9.7
246,15.0,300,9.7
247,14.0,300,9.95
248,19.0,300,10.6
249,14.0,300,10.6
250,9.0,300,10.75
251,15.0,300,11.3
252,11.0,300,11.45
253,14.0,300,11.45
254,13.0,300,11.7
255,9.0,300,11.65
256,10.0,300,11.8
257,9.0,300,11.9
258,2.0,300,11.8
259,17.0,300,12.05
260,6.0,300,11.45
261,21.0,300,12.25
262,2.0,300,11.55
263,13.0,300,11.55
264,5.0,300,11.3
265,14.0,300,11.6
266,15.0,300,11.6
267,13.0,300,11.55
268,16.0,300,11.4
269,11.0,300,11.25
270,10.0,300,11.3
271,6.0,300,10.85
272,5.0,300,10.55
273,11.0,300,10.4
274,8.0,300,10.15
275,4.0,300,9.9
276,11.0,300,9.95
277,12.0,300,10.1
278,10.0,300,10.5
279,14.0,300,10.35
280,4.0,300,10.25
281,20.0,300,10.2
282,5.0,300,10.35
283,15.0,300,10.45
284,13.0,300,10.85
285,17.0,300,11.0
286,3.0,300,10.4
287,18.0,300,10.65
288,17.0,300,10.7
289,5.0,300,10.4
290,10.0,300,10.4
291,5.0,300,10.35
292,5.0,300,10.35
293,14.0,300,10.5
294,12.0,300,10.7
295,17.0,300,11.35
296,6.0,300,11.1
297,12.0,300,11.1
298,16.0,300,11.4
299,11.0,300,11.25
300,9.0,300,11.5
301,6.0,300,10.8
302,6.0,300,10.85
303,17.0,300,10.95
304,18.0,300,11.2
305,10.0,300,10.85
306,6.0,300,11.0
307,6.0,300,10.4
308,10.0,300,10.05
309,18.0,300,10.7
310,13.0,300,10.85
311,8.0,300,11.0
312,13.0,300,11.4
313,13.0,300,11.35
314,15.0,300,11.5
315,11.0,300,11.2
316,11.0,300,11.45
317,12.0,300,11.45
318,14.0,300,11.35
319,12.0,300,11.4
320,17.0,300,11.8
321,17.0,300,12.35
322,10.0,300,12.55
323,18.0,300,12.6
324,11.0,300,12.25
325,16.0,300,12.55
326,21.0,300,13.3
327,24.0,300,14.2
328,18.0,300,14.6
329,18.0,300,14.6
330,7.0,300,14.3
331,12.0,300,14.5
332,15.0,300,14.6
333,2.0,300,14.05
334,10.0,300,13.8
335,15.0,300,14.0
336,14.0,300,14.15
337,14.0,300,14.25
338,12.0,300,14.15
339,14.0,300,14.25
340,11.0,300,13.95
341,16.0,300,13.9
342,19.0,300,14.35
343,17.0,300,14.3
344,14.0,300,14.45
345,15.0,300,14.4
346,14.0,300,14.05
347,15.0,300,13.6
348,4.0,300,12.9
349,21.0,300,13.05
350,23.0,300,13.85
351,19.0,300,14.2
352,4.0,300,13.65
353,13.0,300,14.2
354,16.0,300,14.5
355,14.0,300,14.45
356,11.0,300,14.3
357,8.0,300,14.0
358,18.0,300,14.3
359,20.0,300,14.6
360,16.0,300,14.85
361,11.0,300,14.6
362,17.0,300,14.5
363,17.0,300,14.5
364,11.0,300,14.35
365,11.0,300,14.15
366,18.0,300,14.35
367,19.0,300,14.55
368,13.0,300,15.0
369,2.0,300,14.05
370,5.0,300,13.15
371,13.0,300,12.85
372,20.0,300,13.65
373,15.0,300,13.75
374,8.0,300,13.35
375,19.0,300,13.6
376,16.0,300,13.85
377,14.0,300,14.15
378,9.0,300,13.7
379,12.0,300,13.3
380,14.0,300,13.2
