,score,episodes,avg_score
0,0.0,300,
1,1.0,300,
2,2.0,300,
3,-1.0,300,
4,0.0,300,
5,0.0,300,
6,-1.0,300,
7,0.0,300,
8,0.0,300,
9,-1.0,300,
10,4.0,300,
11,1.0,300,
12,2.0,300,
13,1.0,300,
14,1.0,300,
15,2.0,300,
16,2.0,300,
17,2.0,300,
18,2.0,300,
19,4.0,300,1.05
20,1.0,300,1.1
21,2.0,300,1.15
22,0.0,300,1.05
23,2.0,300,1.2
24,2.0,300,1.3
25,4.0,300,1.5
26,2.0,300,1.65
27,2.0,300,1.75
28,-1.0,300,1.7
29,5.0,300,2.0
30,0.0,300,1.8
31,4.0,300,1.95
32,7.0,300,2.2
33,3.0,300,2.3
34,1.0,300,2.3
35,1.0,300,2.25
36,1.0,300,2.2
37,4.0,300,2.3
38,2.0,300,2.3
39,0.0,300,2.1
40,2.0,300,2.15
41,4.0,300,2.25
42,0.0,300,2.25
43,0.0,300,2.15
44,3.0,300,2.2
45,5.0,300,2.25
46,3.0,300,2.3
47,8.0,300,2.6
48,1.0,300,2.7
49,3.0,300,2.6
50,4.0,300,2.8
51,1.0,300,2.65
52,4.0,300,2.5
53,2.0,300,2.45
54,3.0,300,2.55
55,0.0,300,2.5
56,3.0,300,2.6
57,7.0,300,2.75
58,5.0,300,2.9
59,0.0,300,2.9
60,6.0,300,3.1
61,1.0,300,2.95
62,5.0,300,3.2
63,0.0,300,3.2
64,3.0,300,3.2
65,1.0,300,3.0
66,6.0,300,3.15
67,1.0,300,2.8
68,5.0,300,3.0
69,1.0,300,2.9
70,2.0,300,2.8
71,6.0,300,3.05
72,3.0,300,3.0
73,6.0,300,3.2
74,7.0,300,3.4
75,1.0,300,3.45
76,2.0,300,3.4
77,0.0,300,3.05
78,4.0,300,3.0
79,0.0,300,3.0
80,3.0,300,2.85
81,2.0,300,2.9
82,8.0,300,3.05
83,3.0,300,3.2
84,1.0,300,3.1
85,6.0,300,3.35
86,0.0,300,3.05
87,6.0,300,3.3
88,5.0,300,3.3
89,0.0,300,3.25
90,4.0,300,3.35
91,1.0,300,3.1
92,0.0,300,2.95
93,3.0,300,2.8
94,5.0,300,2.7
95,11.0,300,3.2
96,0.0,300,3.1
97,2.0,300,3.2
98,4.0,300,3.2
99,13.0,300,3.85
100,4.0,300,3.9
101,13.0,300,4.45
102,5.0,300,4.3
103,1.0,300,4.2
104,2.0,300,4.25
105,2.0,300,4.05
106,15.0,300,4.8
107,0.0,300,4.5
108,11.0,300,4.8
109,14.0,300,5.5
110,8.0,300,5.7
111,3.0,300,5.8
112,8.0,300,6.2
113,9.0,300,6.5
114,4.0,300,6.45
115,2.0,300,6.0
116,-2.0,300,5.9
117,10.0,300,6.3
118,1.0,300,6.15
119,2.0,300,5.6
120,9.0,300,5.85
121,8.0,300,5.6
122,7.0,300,5.7
123,4.0,300,5.85
124,7.0,300,6.1
125,0.0,300,6.0
126,7.0,300,5.6
127,1.0,300,5.65
128,-1.0,300,5.05
129,15.0,300,5.1
130,8.0,300,5.1
131,1.0,300,5.0
132,10.0,300,5.1
133,4.0,300,4.85
134,2.0,300,4.75
135,8.0,300,5.05
136,2.0,300,5.25
137,9.0,300,5.2
138,9.0,300,5.6
139,21.0,300,6.55
140,15.0,300,6.85
141,3.0,300,6.6
142,9.0,300,6.7
143,11.0,300,7.05
144,4.0,300,6.9
145,8.0,300,7.3
146,5.0,300,7.2
147,17.0,300,8.0
148,12.0,300,8.65
149,10.0,300,8.4
150,13.0,300,8.65
151,9.0,300,9.05
152,10.0,300,9.05
153,6.0,300,9.15
154,13.0,300,9.7
155,9.0,300,9.75
156,0.0,300,9.65
157,2.0,300,9.3
158,7.0,300,9.2
159,13.0,300,8.8
160,13.0,300,8.7
161,6.0,300,8.85
162,2.0,300,8.5
163,11.0,300,8.5
164,12.0,300,8.9
165,5.0,300,8.75
166,2.0,300,8.6
167,14.0,300,8.45
168,13.0,300,8.5
169,12.0,300,8.6
170,8.0,300,8.35
171,6.0,300,8.2
172,11.0,300,8.25
173,6.0,300,8.25
174,9.0,300,8.05
175,-2.0,300,7.5
176,12.0,300,8.1
177,5.0,300,8.25
178,13.0,300,8.55
179,9.0,300,8.35
180,11.0,300,8.25
181,13.0,300,8.6
182,13.0,300,9.15
183,11.0,300,9.15
184,11.0,300,9.1
185,5.0,300,9.1
186,12.0,300,9.6
187,12.0,300,9.5
188,5.0,300,9.1
189,15.0,300,9.25
190,9.0,300,9.3
191,15.0,300,9.75
192,10.0,300,9.7
193,5.0,300,9.65
194,11.0,300,9.75
195,12.0,300,10.45
196,15.0,300,10.6
197,12.0,300,10.95
198,14.0,300,11.0
199,12.0,300,11.15
200,3.0,300,10.75
201,6.0,300,10.4
202,15.0,300,10.5
203,12.0,300,10.55
204,17.0,300,10.85
205,17.0,300,11.45
206,13.0,300,11.5
207,6.0,300,11.2
208,13.0,300,11.6
209,13.0,300,11.5
210,11.0,300,11.6
211,13.0,300,11.5
212,10.0,300,11.5
213,7.0,300,11.6
214,11.0,300,11.6
215,10.0,300,11.5
216,16.0,300,11.55
217,16.0,300,11.75
218,11.0,300,11.6
219,7.0,300,11.35
220,14.0,300,11.9
221,12.0,300,12.2
222,4.0,300,11.65
223,7.0,300,11.4
224,12.0,300,11.15
225,10.0,300,10.8
226,5.0,300,10.4
227,4.0,300,10.3
228,12.0,300,10.25
229,14.0,300,10.3
230,8.0,300,10.15
231,10.0,300,10.0
232,4.0,300,9.7
233,11.0,300,9.9
234,8.0,300,9.75
235,10.0,300,9.75
236,11.0,300,9.5
237,10.0,300,9.2
238,15.0,300,9.4
239,17.0,300,9.9
240,13.0,300,9.85
241,10.0,300,9.75
242,15.0,300,10.3
243,16.0,300,10.75
244,4.0,300,10.35
245,3.0,300,10.0
246,10.0,300,10.25
247,6.0,300,10.35
248,13.0,300,10.4
249,9.0,300,10.15
250,13.0,300,10.4
251,10.0,300,10.4
252,15.0,300,10.95
253,10.0,300,10.9
254,4.0,300,10.7
255,6.0,300,10.5
256,11.0,300,10.5
257,11.0,300,10.55
258,17.0,300,10.65
259,12.0,300,10.4
260,14.0,300,10.45
261,13.0,300,10.6
262,14.0,300,10.55
263,19.0,300,10.7
264,6.0,300,10.8
265,19.0,300,11.6
266,8.0,300,11.5
267,16.0,300,12.0
268,12.0,300,11.95
269,3.0,300,11.65
