,score,episodes,avg_score
0,0.0,300,
1,1.0,300,
2,1.0,300,
3,-1.0,300,
4,0.0,300,
5,-1.0,300,
6,0.0,300,
7,0.0,300,
8,1.0,300,
9,1.0,300,
10,7.0,300,
11,5.0,300,
12,1.0,300,
13,2.0,300,
14,0.0,300,
15,0.0,300,
16,2.0,300,
17,3.0,300,
18,1.0,300,
19,1.0,300,1.2
20,2.0,300,1.3
21,2.0,300,1.35
22,5.0,300,1.55
23,3.0,300,1.75
24,1.0,300,1.8
25,4.0,300,2.05
26,0.0,300,2.05
27,0.0,300,2.05
28,0.0,300,2.0
29,6.0,300,2.25
30,1.0,300,1.95
31,3.0,300,1.85
32,3.0,300,1.95
33,7.0,300,2.2
34,6.0,300,2.5
35,2.0,300,2.6
36,1.0,300,2.55
37,5.0,300,2.65
38,5.0,300,2.85
39,3.0,300,2.95
40,7.0,300,3.2
41,2.0,300,3.2
42,1.0,300,3.0
43,4.0,300,3.05
44,2.0,300,3.1
45,0.0,300,2.9
46,3.0,300,3.05
47,5.0,300,3.3
48,2.0,300,3.4
49,1.0,300,3.15
50,4.0,300,3.3
51,9.0,300,3.6
52,2.0,300,3.55
53,1.0,300,3.25
54,3.0,300,3.1
55,2.0,300,3.1
56,6.0,300,3.35
57,7.0,300,3.45
58,1.0,300,3.25
59,1.0,300,3.15
60,0.0,300,2.8
61,6.0,300,3.0
62,4.0,300,3.15
63,2.0,300,3.05
64,0.0,300,2.95
65,10.0,300,3.45
66,5.0,300,3.55
67,10.0,300,3.8
68,2.0,300,3.8
69,1.0,300,3.8
70,3.0,300,3.75
71,4.0,300,3.5
72,4.0,300,3.6
73,3.0,300,3.7
74,6.0,300,3.85
75,5.0,300,4.0
76,3.0,300,3.85
77,3.0,300,3.65
78,1.0,300,3.65
79,4.0,300,3.8
80,0.0,300,3.8
81,6.0,300,3.8
82,13.0,300,4.25
83,9.0,300,4.6
84,12.0,300,5.2
85,14.0,300,5.4
86,3.0,300,5.3
87,5.0,300,5.05
88,2.0,300,5.05
89,4.0,300,5.2
90,10.0,300,5.55
91,4.0,300,5.55
92,2.0,300,5.45
93,13.0,300,5.95
94,0.0,300,5.65
95,2.0,300,5.5
96,6.0,300,5.65
97,3.0,300,5.65
98,11.0,300,6.15
99,8.0,300,6.35
100,1.0,300,6.4
101,13.0,300,6.75
102,10.0,300,6.6
103,3.0,300,6.3
104,14.0,300,6.4
105,13.0,300,6.35
106,10.0,300,6.7
107,3.0,300,6.6
108,1.0,300,6.55
109,4.0,300,6.55
110,13.0,300,6.7
111,1.0,300,6.55
112,13.0,300,7.1
113,7.0,300,6.8
114,9.0,300,7.25
115,14.0,300,7.85
116,10.0,300,8.05
117,8.0,300,8.3
118,11.0,300,8.3
119,16.0,300,8.7
120,4.0,300,8.85
121,10.0,300,8.7
122,5.0,300,8.45
123,14.0,300,9.0
124,9.0,300,8.75
125,9.0,300,8.55
126,3.0,300,8.2
127,9.0,300,8.5
128,6.0,300,8.75
129,8.0,300,8.95
130,3.0,300,8.45
131,6.0,300,8.7
132,6.0,300,8.35
133,13.0,300,8.65
134,19.0,300,9.15
135,2.0,300,8.55
136,12.0,300,8.65
137,14.0,300,8.95
138,9.0,300,8.85
139,12.0,300,8.65
140,10.0,300,8.95
141,13.0,300,9.1
142,8.0,300,9.25
143,19.0,300,9.5
144,12.0,300,9.65
145,8.0,300,9.6
146,11.0,300,10.0
147,14.0,300,10.25
148,15.0,300,10.7
149,11.0,300,10.85
150,10.0,300,11.2
151,14.0,300,11.6
152,16.0,300,12.1
153,6.0,300,11.75
154,6.0,300,11.1
155,5.0,300,11.25
156,13.0,300,11.3
157,9.0,300,11.05
158,11.0,300,11.15
159,5.0,300,10.8
160,8.0,300,10.7
161,7.0,300,10.4
162,13.0,300,10.65
163,11.0,300,10.25
164,12.0,300,10.25
165,9.0,300,10.3
166,10.0,300,10.25
167,14.0,300,10.25
168,10.0,300,10.0
169,18.0,300,10.35
170,7.0,300,10.2
171,9.0,300,9.95
172,5.0,300,9.4
173,13.0,300,9.75
174,6.0,300,9.75
175,11.0,300,10.05
176,5.0,300,9.65
177,11.0,300,9.75
178,13.0,300,9.85
179,11.0,300,10.15
180,18.0,300,10.65
181,16.0,300,11.1
182,17.0,300,11.3
183,7.0,300,11.1
184,10.0,300,11.0
185,12.0,300,11.15
186,19.0,300,11.6
187,10.0,300,11.4
188,15.0,300,11.65
189,12.0,300,11.35
190,11.0,300,11.55
191,20.0,300,12.1
192,17.0,300,12.7
193,5.0,300,12.3
194,15.0,300,12.75
195,17.0,300,13.05
196,4.0,300,13.0
197,12.0,300,13.05
198,7.0,300,12.75
199,10.0,300,12.7
200,14.0,300,12.5
201,11.0,300,12.25
202,7.0,300,11.75
203,14.0,300,12.1
204,7.0,300,11.95
205,1.0,300,11.4
206,12.0,300,11.05
207,9.0,300,11.0
208,14.0,300,10.95
209,17.0,300,11.2
210,10.0,300,11.15
211,7.0,300,10.5
212,16.0,300,10.45
213,16.0,300,11.0
214,11.0,300,10.8
215,6.0,300,10.25
216,9.0,300,10.5
217,6.0,300,10.2
218,10.0,300,10.35
219,11.0,300,10.4
220,12.0,300,10.3
221,18.0,300,10.65
222,9.0,300,10.75
223,9.0,300,10.5
224,19.0,300,11.1
225,19.0,300,12.0
226,18.0,300,12.3
227,0.0,300,11.85
228,18.0,300,12.05
229,14.0,300,11.9
230,12.0,300,12.0
231,13.0,300,12.3
232,17.0,300,12.35
233,17.0,300,12.4
234,1.0,300,11.9
235,13.0,300,12.25
236,7.0,300,12.15
237,12.0,300,12.45
238,17.0,300,12.8
239,12.0,300,12.85
240,13.0,300,12.9
241,3.0,300,12.15
242,5.0,300,11.95
243,15.0,300,12.25
244,16.0,300,12.1
245,10.0,300,11.65
246,19.0,300,11.7
247,17.0,300,12.55
248,18.0,300,12.55
249,10.0,300,12.35
250,13.0,300,12.4
251,14.0,300,12.45
252,12.0,300,12.2
253,5.0,300,11.6
254,6.0,300,11.85
255,10.0,300,11.7
256,20.0,300,12.35
257,15.0,300,12.5
258,17.0,300,12.5
259,17.0,300,12.75
260,8.0,300,12.5
261,15.0,300,13.1
262,9.0,300,13.3
263,13.0,300,13.2
264,12.0,300,13.0
265,12.0,300,13.1
266,8.0,300,12.55
267,11.0,300,12.25
268,13.0,300,12.0
269,12.0,300,12.1
270,15.0,300,12.2
